1793,,,,,,,,
Clock Time,Process ID,Total Time,Ready Time,CPU Time,IO Time,Wait Time,CPU/IO,Run/Idle
,0,1552,1283,106,162,0,0.65,0.21
,1,1176,980,70,125,0,0.56,0.2
,2,1187,997,65,124,0,0.52,0.19
,3,1685,1382,102,200,0,0.51,0.22
,4,1771,1412,127,231,0,0.55,0.25
,5,1474,1238,87,148,0,0.59,0.19
,6,1480,1245,81,153,0,0.53,0.19
,7,1231,1037,76,117,0,0.65,0.19
,8,1241,1057,68,115,0,0.59,0.17
,9,1780,1425,123,231,0,0.53,0.25
,10,1705,1413,95,196,0,0.48,0.21
,11,1262,1080,66,115,0,0.57,0.17
,12,1501,1272,81,147,0,0.55,0.18
,13,1751,1421,117,211,1,0.55,0.23
,14,1651,1360,103,187,0,0.55,0.21
,15,1297,1124,56,116,0,0.48,0.15
,16,1720,1408,112,199,0,0.56,0.22
,17,1314,1125,69,119,0,0.58,0.17
,18,1783,1441,118,223,0,0.53,0.24
,19,1433,1239,69,124,0,0.56,0.16
